Species,Family,Order
Policana albopilosa ,Colletidae,Hymenoptera
Bombus dahlbomii,Apidae,Hymenoptera
Ruizantheda mutabilis ,Apidae,Hymenoptera
Trichophthalma amoena,Nemestrinidae,Diptera
Syrphus octomaculatus ,Syrphidae,Diptera
Manuelia gayi ,Apidae,Hymenoptera
Allograpta toxomerus,Syrphidae,Diptera
Trichophthalma jaffueli ,Nemestrinidae,Diptera
Phthiria,Phthiria,Diptera
Platycheirus 1,Platycheirus,Diptera
Sapromyza minettia ,Lauxaniidae,Diptera
Formicidae 3 ,Formicidae,Hymenoptera
Nitidulidae ,Nitidulidae,Coleoptera
Staphilinidae ,Staphylinidae,Coleoptera
Ichneumonidae 4,Ichneumonidae,Hymenoptera
Braconidae 3,Braconidae,Hymenoptera
Chalepogenus caeruleus ,Apidae,Hymenoptera
Vespula germanica ,Vespidae,Hymenoptera
Torymidae 2 ,Torymidae,Hymenoptera
Phthiria 1,Bombyliidae,Diptera
Svastrides melanura ,Apidae,Hymenoptera
Sphecidae ,Sphecidae,Hymenoptera
Thomisidae,Thomisidae,Araneae
Corynura prothysteres ,Halictidae,Hymenoptera
Ichneumonidae 2 ,Ichneumonidae ,Hymenoptera
Ruizantheda proxima,Halictidae,Hymenoptera
Braconidae 2,Braconidae,Hymenoptera
