Bacteria,prevelance,treatment
Acinetobacter sp,10,pupae 0gy-S
Acinetobacter sp,10,pupae-0gy-NS
Acinetobacter sp,10,pupae-50gy-S
Acinetobacter sp,10,pupae-50gy-NS
Acinetobacter sp,10,pupae-100gy-S
Acinetobacter sp,10,pupae-100gy-NS
Acinetobacter sp,10,Water
Acinetobacter sp,10,Slurry
Acinetobacter sp,10,adult 0gy-S
Acinetobacter sp,10,adult-0gy-NS
Acinetobacter sp,10,adult-50gy-S
Acinetobacter sp,3,adult-50gy-NS
Acinetobacter sp,10,adult-100gy-S
Acinetobacter sp,0,adult-100gy-NS
Bacillus pumilus,12,pupae 0gy-S
Bacillus pumilus,12,pupae-0gy-NS
Bacillus pumilus,12,pupae-50gy-S
Bacillus pumilus,12,pupae-50gy-NS
Bacillus pumilus,12,pupae-100gy-S
Bacillus pumilus,12,pupae-100gy-NS
Bacillus pumilus,5,Water
Bacillus pumilus,15,Slurry
Bacillus pumilus,15,adult 0gy-S
Bacillus pumilus,15,adult-0gy-NS
Bacillus pumilus,15,adult-50gy-S
Bacillus pumilus,4,adult-50gy-NS
Bacillus pumilus,15,adult-100gy-S
Bacillus pumilus,0,adult-100gy-NS
Cedecea lapagei,30,pupae 0gy-S
Cedecea lapagei,30,pupae-0gy-NS
Cedecea lapagei,30,pupae-50gy-S
Cedecea lapagei,30,pupae-50gy-NS
Cedecea lapagei,30,pupae-100gy-S
Cedecea lapagei,30,pupae-100gy-NS
Cedecea lapagei,20,Water
Cedecea lapagei,40,Slurry
Cedecea lapagei,40,adult 0gy-S
Cedecea lapagei,40,adult-0gy-NS
Cedecea lapagei,35,adult-50gy-S
Cedecea lapagei,10,adult-50gy-NS
Cedecea lapagei,30,adult-100gy-S
Cedecea lapagei,5,adult-100gy-NS
Comamonas sp,10,pupae 0gy-S
Comamonas sp,10,pupae-0gy-NS
Comamonas sp,10,pupae-50gy-S
Comamonas sp,10,pupae-50gy-NS
Comamonas sp,10,pupae-100gy-S
Comamonas sp,10,pupae-100gy-NS
Comamonas sp,3,Water
Comamonas sp,12,Slurry
Comamonas sp,10,adult 0gy-S
Comamonas sp,10,adult-0gy-NS
Comamonas sp,10,adult-50gy-S
Comamonas sp,3,adult-50gy-NS
Comamonas sp,10,adult-100gy-S
Comamonas sp,0,adult-100gy-NS
Enterobacter amnigenus,50,pupae 0gy-S
Enterobacter amnigenus,50,pupae-0gy-NS
Enterobacter amnigenus,50,pupae-50gy-S
Enterobacter amnigenus,50,pupae-50gy-NS
Enterobacter amnigenus,50,pupae-100gy-S
Enterobacter amnigenus,50,pupae-100gy-NS
Enterobacter amnigenus,10,Water
Enterobacter amnigenus,76,Slurry
Enterobacter amnigenus,70,adult 0gy-S
Enterobacter amnigenus,70,adult-0gy-NS
Enterobacter amnigenus,67,adult-50gy-S
Enterobacter amnigenus,30,adult-50gy-NS
Enterobacter amnigenus,50,adult-100gy-S
Enterobacter amnigenus,13,adult-100gy-NS
Enterobacter cloacae,49,pupae 0gy-S
Enterobacter cloacae,49,pupae-0gy-NS
Enterobacter cloacae,48,pupae-50gy-S
Enterobacter cloacae,47,pupae-50gy-NS
Enterobacter cloacae,48,pupae-100gy-S
Enterobacter cloacae,49,pupae-100gy-NS
Enterobacter cloacae,15,Water
Enterobacter cloacae,49,Slurry
Enterobacter cloacae,50,adult 0gy-S
Enterobacter cloacae,49,adult-0gy-NS
Enterobacter cloacae,48,adult-50gy-S
Enterobacter cloacae,12,adult-50gy-NS
Enterobacter cloacae,46,adult-100gy-S
Enterobacter cloacae,0,adult-100gy-NS
Enterobacter ludwigii,120,pupae 0gy-S
Enterobacter ludwigii,120,pupae-0gy-NS
Enterobacter ludwigii,123,pupae-50gy-S
Enterobacter ludwigii,122,pupae-50gy-NS
Enterobacter ludwigii,121,pupae-100gy-S
Enterobacter ludwigii,130,pupae-100gy-NS
Enterobacter ludwigii,12,Water
Enterobacter ludwigii,150,Slurry
Enterobacter ludwigii,140,adult 0gy-S
Enterobacter ludwigii,130,adult-0gy-NS
Enterobacter ludwigii,145,adult-50gy-S
Enterobacter ludwigii,43,adult-50gy-NS
Enterobacter ludwigii,90,adult-100gy-S
Enterobacter ludwigii,12,adult-100gy-NS
Enterobacter sp,4,pupae 0gy-S
Enterobacter sp,5,pupae-0gy-NS
Enterobacter sp,5,pupae-50gy-S
Enterobacter sp,3,pupae-50gy-NS
Enterobacter sp,4,pupae-100gy-S
Enterobacter sp,3,pupae-100gy-NS
Enterobacter sp,12,Water
Enterobacter sp,31,Slurry
Enterobacter sp,34,adult 0gy-S
Enterobacter sp,34,adult-0gy-NS
Enterobacter sp,35,adult-50gy-S
Enterobacter sp,2,adult-50gy-NS
Enterobacter sp,34,adult-100gy-S
